



Reuniões Institucionais CERTI,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Tipo de atividade,Associar Atividade,Duração/hora,Comentário
CERTI Informa,Projetos,F01C0078.0 Parada de Aprendizagem,Nenhum tipo de atividade relacionado,1.2 CERTI informa,,
CERTI Tech,Projetos,F01C0078.0 Parada de Aprendizagem,Nenhum tipo de atividade relacionado,1.1 CERTI Tech,,
Academia CERTI,Projetos,F01C0078.0 Parada de Aprendizagem,Nenhum tipo de atividade relacionado,1.3 Academia CERTI,,
CERTI Fatos e Dados,Projetos,F01C0078.0 Parada de Aprendizagem,Nenhum tipo de atividade relacionado,1.4 CERTI fatos e dados,,
CERTI Reflete,Projetos,F01C0078.0 Parada de Aprendizagem,Nenhum tipo de atividade relacionado,1.5 CERTI Reflete,,


Reuniões gerais CDM,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Lightning Talk,Avulso,CERTI,13. Formação/Capacitação,99601 - Lightning Talk,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Lightning Talk
Reunião Geral CDM,Avulso,CERTI,48. Reunião de Gestão do CRIT,Não preencher,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião Geral CDM. Exemplo: Reunião Geral CDM&ICS Resultados 2o. Trimestre 2023.
Reunião Coordenação Propostas CDM,Avulso,CERTI,9. Reunião,99430 - Prospecção de Negócios Embrapii,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião semanal de propostas
Reunião Gestão Integrada,Avulso,CERTI,9. Reunião,,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião de gestão integrada
Reunião de apresentação de Resultados,Avulso,CERTI,48. Reunião de Gestão do CRIT,,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],



CDM - Software,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Bi-Weekly - Software,Respectivo projeto,Respectivo projeto,-,Atividade corrente,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião da área de SW
1x1 & reuniões de Feedback,Respectivo projeto,Respectivo projeto,-,Atividade corrente,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião semanal do board técnico SW
Design Review,Respectivo projeto,Respectivo projeto,-,Atividade relacionada ,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião de Design Review



CDM - Embarcados,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Bi-Weekly Embarcados,Respectivo projeto,Respectivo projeto,,Atividade corrente,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião de acompanhamento bi-semanal de embarcados
1x1 & reuniões de Feedback,Respectivo projeto,Respectivo projeto,,Atividade corrente,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],"1x1
ou
Reunião de feedback"
Design Review,Respectivo projeto,Respectivo projeto,-,Atividade relacionada ,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião de Design Review



CDM - Design,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Reunião quinzenal UX,Respectivo projeto,CERTI,9. Reunião,Atividade do projeto em execução no momento,,Reunião quinzenal de Design
Design talk,Avulso,CERTI,13. Formação/Capacitação,Nenhum,,Design Talk
Reunião mensal de Design da Certi,Avulso,CERTI,13. Formação/Capacitação,Nenhum,,Reunião mensal de design



CDM - Data Science / IA,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Reunião quinzenal da área de IA,Avulso,CERTI,13. Formação/Capacitação,Nenhum,A duração da reunião. Quem levar mais tempo para preparação de aprresentações deve apontar o tempo correspondente.,Reunião quinzenal de área de IA
Design Review,Respectivo projeto,CERTI,Nenhum tipo de atividade relacionado,Atividade relacionada ,[Considerar todo o tempo envolvido conforme sua participação e ausência total de sua atividade naquele momento],Reunião de Design Review
IA na CERTI,Avulso,CERTI,13. Formação/Capacitação,Nenhum,A duração da reunião. Quem levar mais tempo para preparação de aprresentações deve apontar o tempo correspondente.,IA na CERTI
Engenharia de Sistemas,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Reunião periódica de área,Respectivo projeto,CERTI,Nenhum tipo de atividade relacionado,Atividade do projeto em execução no momento,,
Preparação de material comum a área,Avulso,CERTI,13. Formação/Capacitação,Nenhum,,
Atestados / Ausências,Não apontar channel,,,,,



Abonos,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Jogos da Copa,Avulso,CERTI,301 - Outras Atividades,Nenhum,2h,jogos da copa



Banco de Horas,,,,,,
Evento,Apontar horas para,Cliente / Projeto,Natureza da operação,Tipo de atividade,Duração/hora,Comentário
Banco de Horas,Avulso,CERTI,46. Banco de horas,Nenhum,[Considerar o tempo conforme sua ausência],
